x,y (H1),EXACT,%Err(H1)
1.95,-0.847098809,-1.52580824,-0.44%
1.951,-0.860079063,-1.537934904,-0.44%
1.952,-0.873050575,-1.550039851,-0.44%
1.953,-0.88601301,-1.562122753,-0.43%
1.954,-0.898966031,-1.574183284,-0.43%
1.955,-0.911909301,-1.586221116,-0.43%
1.956,-0.924842484,-1.598235922,-0.42%
1.957,-0.937765243,-1.610227375,-0.42%
1.958,-0.95067724,-1.622195151,-0.41%
1.959,-0.963578139,-1.634138921,-0.41%
1.96,-0.976467604,-1.646058361,-0.41%
1.961,-0.989345295,-1.657953146,-0.40%
1.962,-1.002210878,-1.66982295,-0.40%
1.963,-1.015064014,-1.681667447,-0.40%
1.964,-1.027904367,-1.693486315,-0.39%
1.965,-1.040731599,-1.705279228,-0.39%
1.966,-1.053545373,-1.717045862,-0.39%
1.967,-1.066345352,-1.728785895,-0.38%
1.968,-1.079131199,-1.740499002,-0.38%
1.969,-1.091902576,-1.752184861,-0.38%
1.97,-1.104659147,-1.76384315,-0.37%
1.971,-1.117400574,-1.775473546,-0.37%
1.972,-1.130126521,-1.787075728,-0.37%
1.973,-1.14283665,-1.798649374,-0.36%
1.974,-1.155530625,-1.810194163,-0.36%
1.975,-1.168208108,-1.821709776,-0.36%
1.976,-1.180868763,-1.833195891,-0.36%
1.977,-1.193512253,-1.844652189,-0.35%
1.978,-1.206138242,-1.856078351,-0.35%
1.979,-1.218746393,-1.867474059,-0.35%
1.98,-1.23133637,-1.878838993,-0.34%
1.981,-1.243907836,-1.890172835,-0.34%
1.982,-1.256460456,-1.901475269,-0.34%
1.983,-1.268993893,-1.912745978,-0.34%
1.984,-1.281507812,-1.923984644,-0.33%
1.985,-1.294001877,-1.935190953,-0.33%
1.986,-1.306475752,-1.946364587,-0.33%
1.987,-1.318929103,-1.957505234,-0.33%
1.988,-1.331361593,-1.968612577,-0.32%
1.989,-1.343772889,-1.979686304,-0.32%
1.99,-1.356162655,-1.9907261,-0.32%
1.991,-1.368530557,-2.001731654,-0.32%
1.992,-1.38087626,-2.012702652,-0.31%
1.993,-1.393199431,-2.023638783,-0.31%
1.994,-1.405499735,-2.034539735,-0.31%
1.995,-1.417776839,-2.045405199,-0.31%
1.996,-1.43003041,-2.056234864,-0.30%
1.997,-1.442260114,-2.067028421,-0.30%
1.998,-1.454465619,-2.077785561,-0.30%
1.999,-1.466646591,-2.088505976,-0.30%
2,-1.4788027,-2.099189358,-0.30%
2.001,-1.490933612,-2.1098354,-0.29%
2.002,-1.503038997,-2.120443796,-0.29%
2.003,-1.515118522,-2.13101424,-0.29%
2.004,-1.527171858,-2.141546428,-0.29%
2.005,-1.539198672,-2.152040055,-0.28%
2.006,-1.551198635,-2.162494817,-0.28%
2.007,-1.563171416,-2.172910411,-0.28%
2.008,-1.575116687,-2.183286535,-0.28%
2.009,-1.587034117,-2.193622888,-0.28%
2.01,-1.598923378,-2.203919168,-0.27%
2.011,-1.610784142,-2.214175075,-0.27%
2.012,-1.62261608,-2.22439031,-0.27%
2.013,-1.634418864,-2.234564575,-0.27%
2.014,-1.646192167,-2.24469757,-0.27%
2.015,-1.657935662,-2.254788998,-0.26%
2.016,-1.669649023,-2.264838564,-0.26%
2.017,-1.681331923,-2.274845972,-0.26%
2.018,-1.692984038,-2.284810926,-0.26%
2.019,-1.704605041,-2.294733132,-0.26%
2.02,-1.716194608,-2.304612297,-0.26%
2.021,-1.727752415,-2.314448128,-0.25%
2.022,-1.739278139,-2.324240333,-0.25%
2.023,-1.750771455,-2.333988622,-0.25%
2.024,-1.762232041,-2.343692703,-0.25%
2.025,-1.773659575,-2.353352289,-0.25%
2.026,-1.785053735,-2.362967089,-0.24%
2.027,-1.7964142,-2.372536817,-0.24%
2.028,-1.807740649,-2.382061186,-0.24%
2.029,-1.819032762,-2.391539909,-0.24%
2.03,-1.830290219,-2.400972702,-0.24%
2.031,-1.841512701,-2.41035928,-0.24%
2.032,-1.85269989,-2.41969936,-0.23%
2.033,-1.863851468,-2.428992659,-0.23%
2.034,-1.874967118,-2.438238896,-0.23%
2.035,-1.886046522,-2.447437791,-0.23%
2.036,-1.897089364,-2.456589062,-0.23%
2.037,-1.90809533,-2.465692433,-0.23%
2.038,-1.919064104,-2.474747624,-0.22%
2.039,-1.929995371,-2.483754358,-0.22%
2.04,-1.940888819,-2.492712361,-0.22%
2.041,-1.951744134,-2.501621356,-0.22%
2.042,-1.962561003,-2.510481069,-0.22%
2.043,-1.973339115,-2.519291228,-0.22%
2.044,-1.984078159,-2.52805156,-0.22%
2.045,-1.994777825,-2.536761794,-0.21%
2.046,-2.005437802,-2.545421661,-0.21%
2.047,-2.016057783,-2.55403089,-0.21%
2.048,-2.026637457,-2.562589213,-0.21%
2.049,-2.037176519,-2.571096365,-0.21%
2.05,-2.04767466,-2.579552077,-0.21%
2.051,-2.058131576,-2.587956086,-0.20%
2.052,-2.06854696,-2.596308127,-0.20%
2.053,-2.078920507,-2.604607937,-0.20%
2.054,-2.089251915,-2.612855255,-0.20%
2.055,-2.099540879,-2.621049819,-0.20%
2.056,-2.109787097,-2.62919137,-0.20%
2.057,-2.119990268,-2.637279649,-0.20%
2.058,-2.130150091,-2.645314398,-0.19%
2.059,-2.140266266,-2.653295361,-0.19%
2.06,-2.150338494,-2.661222283,-0.19%
2.061,-2.160366475,-2.669094908,-0.19%
2.062,-2.170349913,-2.676912984,-0.19%
2.063,-2.180288511,-2.684676259,-0.19%
2.064,-2.190181973,-2.692384482,-0.19%
2.065,-2.200030004,-2.700037403,-0.19%
2.066,-2.209832309,-2.707634773,-0.18%
2.067,-2.219588595,-2.715176345,-0.18%
2.068,-2.22929857,-2.722661872,-0.18%
2.069,-2.238961942,-2.73009111,-0.18%
2.07,-2.24857842,-2.737463814,-0.18%
2.071,-2.258147715,-2.744779742,-0.18%
2.072,-2.267669537,-2.752038651,-0.18%
2.073,-2.277143598,-2.759240302,-0.17%
2.074,-2.286569612,-2.766384455,-0.17%
2.075,-2.295947292,-2.773470873,-0.17%
2.076,-2.305276352,-2.780499318,-0.17%
2.077,-2.31455651,-2.787469554,-0.17%
2.078,-2.32378748,-2.794381348,-0.17%
2.079,-2.332968981,-2.801234467,-0.17%
2.08,-2.342100731,-2.808028678,-0.17%
2.081,-2.35118245,-2.814763752,-0.16%
2.082,-2.360213859,-2.821439458,-0.16%
2.083,-2.369194678,-2.828055569,-0.16%
2.084,-2.378124631,-2.834611857,-0.16%
2.085,-2.38700344,-2.841108099,-0.16%
2.086,-2.395830831,-2.847544068,-0.16%
2.087,-2.404606529,-2.853919543,-0.16%
2.088,-2.413330261,-2.860234302,-0.16%
2.089,-2.422001753,-2.866488124,-0.16%
2.09,-2.430620736,-2.872680791,-0.15%
2.091,-2.439186938,-2.878812084,-0.15%
2.092,-2.44770009,-2.884881789,-0.15%
2.093,-2.456159924,-2.890889689,-0.15%
2.094,-2.464566174,-2.896835571,-0.15%
2.095,-2.472918573,-2.902719223,-0.15%
2.096,-2.481216856,-2.908540434,-0.15%
2.097,-2.489460759,-2.914298994,-0.15%
2.098,-2.497650021,-2.919994695,-0.14%
2.099,-2.505784378,-2.925627331,-0.14%
2.1,-2.513863572,-2.931196696,-0.14%
2.101,-2.521887342,-2.936702586,-0.14%
2.102,-2.529855431,-2.942144799,-0.14%
2.103,-2.537767581,-2.947523132,-0.14%
2.104,-2.545623536,-2.952837388,-0.14%
2.105,-2.553423043,-2.958087366,-0.14%
2.106,-2.561165846,-2.963272871,-0.14%
2.107,-2.568851695,-2.968393706,-0.13%
2.108,-2.576480338,-2.973449678,-0.13%
2.109,-2.584051524,-2.978440594,-0.13%
2.11,-2.591565006,-2.983366262,-0.13%
2.111,-2.599020535,-2.988226494,-0.13%
2.112,-2.606417866,-2.993021101,-0.13%
2.113,-2.613756753,-2.997749895,-0.13%
2.114,-2.621036952,-3.002412693,-0.13%
2.115,-2.628258221,-3.007009309,-0.13%
2.116,-2.635420318,-3.011539562,-0.12%
2.117,-2.642523004,-3.016003271,-0.12%
2.118,-2.649566038,-3.020400256,-0.12%
2.119,-2.656549185,-3.02473034,-0.12%
2.12,-2.663472207,-3.028993346,-0.12%
2.121,-2.670334869,-3.033189099,-0.12%
2.122,-2.677136937,-3.037317427,-0.12%
2.123,-2.68387818,-3.041378157,-0.12%
2.124,-2.690558366,-3.04537112,-0.12%
2.125,-2.697177264,-3.049296145,-0.12%
2.126,-2.703734648,-3.053153068,-0.11%
2.127,-2.710230288,-3.056941721,-0.11%
2.128,-2.716663961,-3.06066194,-0.11%
2.129,-2.72303544,-3.064313565,-0.11%
2.13,-2.729344503,-3.067896432,-0.11%
2.131,-2.735590927,-3.071410384,-0.11%
2.132,-2.741774494,-3.074855263,-0.11%
2.133,-2.747894982,-3.078230911,-0.11%
2.134,-2.753952176,-3.081537176,-0.11%
2.135,-2.759945857,-3.084773903,-0.11%
2.136,-2.765875812,-3.087940942,-0.10%
2.137,-2.771741827,-3.091038143,-0.10%
2.138,-2.777543689,-3.094065357,-0.10%
2.139,-2.783281189,-3.097022438,-0.10%
2.14,-2.788954115,-3.099909242,-0.10%
2.141,-2.794562262,-3.102725625,-0.10%
2.142,-2.800105421,-3.105471445,-0.10%
2.143,-2.805583389,-3.108146562,-0.10%
2.144,-2.810995961,-3.110750839,-0.10%
2.145,-2.816342935,-3.113284139,-0.10%
2.146,-2.821624111,-3.115746325,-0.09%
2.147,-2.826839289,-3.118137266,-0.09%
2.148,-2.831988271,-3.12045683,-0.09%
2.149,-2.837070862,-3.122704885,-0.09%
2.15,-2.842086867,-3.124881305,-0.09%
2.151,-2.847036091,-3.126985963,-0.09%
2.152,-2.851918344,-3.129018732,-0.09%
2.153,-2.856733434,-3.130979491,-0.09%
2.154,-2.861481174,-3.132868118,-0.09%
2.155,-2.866161375,-3.134684492,-0.09%
2.156,-2.870773852,-3.136428496,-0.08%
2.157,-2.875318421,-3.138100013,-0.08%
2.158,-2.879794899,-3.139698929,-0.08%
2.159,-2.884203104,-3.14122513,-0.08%
2.16,-2.888542858,-3.142678504,-0.08%
2.161,-2.892813981,-3.144058943,-0.08%
2.162,-2.897016298,-3.145366339,-0.08%
2.163,-2.901149633,-3.146600586,-0.08%
2.164,-2.905213812,-3.147761578,-0.08%
2.165,-2.909208665,-3.148849214,-0.08%
2.166,-2.913134021,-3.149863392,-0.08%
2.167,-2.916989711,-3.150804014,-0.07%
2.168,-2.920775567,-3.151670982,-0.07%
2.169,-2.924491425,-3.152464201,-0.07%
2.17,-2.928137121,-3.153183577,-0.07%
2.171,-2.931712492,-3.153829017,-0.07%
2.172,-2.935217377,-3.154400431,-0.07%
2.173,-2.938651618,-3.154897732,-0.07%
2.174,-2.942015057,-3.155320831,-0.07%
2.175,-2.945307538,-3.155669645,-0.07%
2.176,-2.948528907,-3.15594409,-0.07%
2.177,-2.951679012,-3.156144085,-0.06%
2.178,-2.954757701,-3.15626955,-0.06%
2.179,-2.957764826,-3.156320408,-0.06%
2.18,-2.960700239,-3.156296582,-0.06%
2.181,-2.963563794,-3.156197999,-0.06%
2.182,-2.966355346,-3.156024586,-0.06%
2.183,-2.969074754,-3.155776272,-0.06%
2.184,-2.971721876,-3.15545299,-0.06%
2.185,-2.974296573,-3.155054672,-0.06%
2.186,-2.976798707,-3.154581253,-0.06%
2.187,-2.979228144,-3.15403267,-0.06%
2.188,-2.981584748,-3.153408861,-0.05%
2.189,-2.983868387,-3.152709768,-0.05%
2.19,-2.986078931,-3.151935332,-0.05%
2.191,-2.988216251,-3.151085498,-0.05%
2.192,-2.990280218,-3.150160211,-0.05%
2.193,-2.992270709,-3.14915942,-0.05%
2.194,-2.994187599,-3.148083075,-0.05%
2.195,-2.996030765,-3.146931126,-0.05%
2.196,-2.997800089,-3.145703528,-0.05%
2.197,-2.99949545,-3.144400235,-0.05%
2.198,-3.001116733,-3.143021205,-0.05%
2.199,-3.002663821,-3.141566398,-0.04%
2.2,-3.004136603,-3.140035773,-0.04%
2.201,-3.005534966,-3.138429294,-0.04%
2.202,-3.0068588,-3.136746925,-0.04%
2.203,-3.008107998,-3.134988633,-0.04%
2.204,-3.009282453,-3.133154387,-0.04%
2.205,-3.010382061,-3.131244156,-0.04%
2.206,-3.011406719,-3.129257914,-0.04%
2.207,-3.012356326,-3.127195633,-0.04%
2.208,-3.013230784,-3.125057291,-0.04%
2.209,-3.014029994,-3.122842865,-0.03%
2.21,-3.014753862,-3.120552334,-0.03%
2.211,-3.015402294,-3.118185682,-0.03%
2.212,-3.015975198,-3.11574289,-0.03%
2.213,-3.016472483,-3.113223946,-0.03%
2.214,-3.016894062,-3.110628835,-0.03%
2.215,-3.017239849,-3.107957549,-0.03%
2.216,-3.017509758,-3.105210077,-0.03%
2.217,-3.017703707,-3.102386413,-0.03%
2.218,-3.017821615,-3.099486552,-0.03%
2.219,-3.017863404,-3.096510491,-0.03%
2.22,-3.017828995,-3.09345823,-0.02%
2.221,-3.017718313,-3.090329768,-0.02%
2.222,-3.017531286,-3.08712511,-0.02%
2.223,-3.01726784,-3.083844258,-0.02%
2.224,-3.016927907,-3.080487221,-0.02%
2.225,-3.016511419,-3.077054007,-0.02%
2.226,-3.016018309,-3.073544626,-0.02%
2.227,-3.015448514,-3.06995909,-0.02%
2.228,-3.01480197,-3.066297415,-0.02%
2.229,-3.014078618,-3.062559616,-0.02%
2.23,-3.013278398,-3.058745712,-0.01%
2.231,-3.012401255,-3.054855722,-0.01%
2.232,-3.011447134,-3.05088967,-0.01%
2.233,-3.01041598,-3.046847579,-0.01%
2.234,-3.009307745,-3.042729475,-0.01%
2.235,-3.008122377,-3.038535386,-0.01%
2.236,-3.006859831,-3.034265342,-0.01%
2.237,-3.00552006,-3.029919375,-0.01%
2.238,-3.004103022,-3.025497519,-0.01%
2.239,-3.002608675,-3.02099981,-0.01%
2.24,-3.001036979,-3.016426284,-0.01%
2.241,-2.999387897,-3.011776983,0.00%
2.242,-2.997661392,-3.007051947,0.00%
2.243,-2.995857431,-3.002251221,0.00%
2.244,-2.993975983,-2.997374849,0.00%
2.245,-2.992017016,-2.99242288,0.00%
2.246,-2.989980504,-2.987395362,0.00%
2.247,-2.987866419,-2.982292348,0.00%
2.248,-2.985674738,-2.97711389,0.00%
2.249,-2.983405439,-2.971860044,0.00%
2.25,-2.9810585,-2.966530867,0.00%
2.251,-2.978633905,-2.961126418,-0.01%
2.252,-2.976131635,-2.955646759,-0.01%
2.253,-2.973551677,-2.950091953,-0.01%
2.254,-2.970894018,-2.944462065,-0.01%
2.255,-2.968158648,-2.938757162,-0.01%
2.256,-2.965345558,-2.932977314,-0.01%
2.257,-2.962454741,-2.92712259,-0.01%
2.258,-2.959486193,-2.921193065,-0.01%
2.259,-2.95643991,-2.915188812,-0.01%
2.26,-2.953315892,-2.90910991,-0.02%
2.261,-2.95011414,-2.902956437,-0.02%
2.262,-2.946834658,-2.896728473,-0.02%
2.263,-2.943477449,-2.890426102,-0.02%
2.264,-2.940042522,-2.884049409,-0.02%
2.265,-2.936529886,-2.877598479,-0.02%
2.266,-2.93293955,-2.871073403,-0.02%
2.267,-2.929271529,-2.86447427,-0.02%
2.268,-2.925525837,-2.857801172,-0.02%
2.269,-2.921702491,-2.851054206,-0.02%
2.27,-2.91780151,-2.844233467,-0.03%
2.271,-2.913822915,-2.837339053,-0.03%
2.272,-2.909766729,-2.830371065,-0.03%
2.273,-2.905632976,-2.823329606,-0.03%
2.274,-2.901421684,-2.81621478,-0.03%
2.275,-2.897132881,-2.809026693,-0.03%
2.276,-2.892766598,-2.801765454,-0.03%
2.277,-2.888322868,-2.794431173,-0.03%
2.278,-2.883801725,-2.787023961,-0.03%
2.279,-2.879203207,-2.779543934,-0.04%
2.28,-2.874527351,-2.771991207,-0.04%
2.281,-2.8697742,-2.764365898,-0.04%
2.282,-2.864943795,-2.756668128,-0.04%
2.283,-2.860036182,-2.748898018,-0.04%
2.284,-2.855051406,-2.741055693,-0.04%
2.285,-2.849989517,-2.733141277,-0.04%
2.286,-2.844850566,-2.725154899,-0.04%
2.287,-2.839634605,-2.717096689,-0.05%
2.288,-2.834341689,-2.708966779,-0.05%
2.289,-2.828971875,-2.700765301,-0.05%
2.29,-2.823525221,-2.692492392,-0.05%
2.291,-2.818001788,-2.68414819,-0.05%
2.292,-2.812401639,-2.675732833,-0.05%
2.293,-2.806724839,-2.667246462,-0.05%
2.294,-2.800971453,-2.658689223,-0.05%
2.295,-2.795141552,-2.650061258,-0.05%
2.296,-2.789235205,-2.641362717,-0.06%
2.297,-2.783252486,-2.632593748,-0.06%
2.298,-2.777193469,-2.623754502,-0.06%
2.299,-2.771058231,-2.614845131,-0.06%
2.3,-2.764846851,-2.605865792,-0.06%
2.301,-2.758559409,-2.59681664,-0.06%
2.302,-2.752195988,-2.587697835,-0.06%
2.303,-2.745756673,-2.578509538,-0.06%
2.304,-2.73924155,-2.56925191,-0.07%
2.305,-2.732650709,-2.559925116,-0.07%
2.306,-2.72598424,-2.550529323,-0.07%
2.307,-2.719242235,-2.541064699,-0.07%
2.308,-2.71242479,-2.531531414,-0.07%
2.309,-2.705532002,-2.521929641,-0.07%
2.31,-2.698563968,-2.512259554,-0.07%
2.311,-2.691520791,-2.502521327,-0.08%
2.312,-2.684402572,-2.49271514,-0.08%
2.313,-2.677209416,-2.482841172,-0.08%
2.314,-2.66994143,-2.472899605,-0.08%
2.315,-2.662598723,-2.462890622,-0.08%
2.316,-2.655181406,-2.452814408,-0.08%
2.317,-2.647689591,-2.442671151,-0.08%
2.318,-2.640123392,-2.43246104,-0.09%
2.319,-2.632482928,-2.422184266,-0.09%
2.32,-2.624768316,-2.411841022,-0.09%
2.321,-2.616979677,-2.401431503,-0.09%
2.322,-2.609117133,-2.390955905,-0.09%
2.323,-2.601180811,-2.380414427,-0.09%
2.324,-2.593170835,-2.36980727,-0.09%
2.325,-2.585087336,-2.359134635,-0.10%
2.326,-2.576930442,-2.348396727,-0.10%
2.327,-2.568700288,-2.337593751,-0.10%
2.328,-2.560397008,-2.326725916,-0.10%
2.329,-2.552020738,-2.315793432,-0.10%
2.33,-2.543571617,-2.304796508,-0.10%
2.331,-2.535049786,-2.29373536,-0.11%
2.332,-2.526455386,-2.282610202,-0.11%
2.333,-2.517788563,-2.271421251,-0.11%
2.334,-2.509049463,-2.260168726,-0.11%
2.335,-2.500238235,-2.248852847,-0.11%
2.336,-2.491355028,-2.237473838,-0.11%
2.337,-2.482399996,-2.226031922,-0.12%
2.338,-2.473373292,-2.214527326,-0.12%
2.339,-2.464275073,-2.202960277,-0.12%
2.34,-2.455105498,-2.191331006,-0.12%
2.341,-2.445864726,-2.179639743,-0.12%
2.342,-2.43655292,-2.167886722,-0.12%
2.343,-2.427170244,-2.156072179,-0.13%
2.344,-2.417716864,-2.144196349,-0.13%
2.345,-2.408192948,-2.132259473,-0.13%
2.346,-2.398598667,-2.120261789,-0.13%
2.347,-2.388934191,-2.108203541,-0.13%
2.348,-2.379199695,-2.096084973,-0.14%
2.349,-2.369395356,-2.08390633,-0.14%
2.35,-2.35952135,-2.07166786,-0.14%
2.351,-2.349577857,-2.059369812,-0.14%
2.352,-2.33956506,-2.047012438,-0.14%
2.353,-2.329483142,-2.034595989,-0.14%
2.354,-2.319332287,-2.022120722,-0.15%
2.355,-2.309112685,-2.009586891,-0.15%
2.356,-2.298824524,-1.996994755,-0.15%
2.357,-2.288467995,-1.984344575,-0.15%
2.358,-2.278043292,-1.97163661,-0.16%
2.359,-2.267550609,-1.958871125,-0.16%
2.36,-2.256990145,-1.946048385,-0.16%
2.361,-2.246362097,-1.933168655,-0.16%
2.362,-2.235666668,-1.920232206,-0.16%
2.363,-2.224904058,-1.907239305,-0.17%
2.364,-2.214074474,-1.894190227,-0.17%
2.365,-2.203178122,-1.881085242,-0.17%
2.366,-2.19221521,-1.867924628,-0.17%
2.367,-2.181185948,-1.854708661,-0.18%
2.368,-2.17009055,-1.841437618,-0.18%
2.369,-2.158929228,-1.828111781,-0.18%
2.37,-2.147702199,-1.814731431,-0.18%
2.371,-2.136409682,-1.801296852,-0.19%
2.372,-2.125051895,-1.787808329,-0.19%
2.373,-2.11362906,-1.774266148,-0.19%
2.374,-2.1021414,-1.760670598,-0.19%
2.375,-2.090589142,-1.747021969,-0.20%
2.376,-2.078972513,-1.733320553,-0.20%
2.377,-2.06729174,-1.719566643,-0.20%
2.378,-2.055547056,-1.705760535,-0.21%
2.379,-2.043738693,-1.691902523,-0.21%
2.38,-2.031866885,-1.677992908,-0.21%
2.381,-2.01993187,-1.664031988,-0.21%
2.382,-2.007933885,-1.650020064,-0.22%
2.383,-1.99587317,-1.635957441,-0.22%
2.384,-1.983749968,-1.621844422,-0.22%
2.385,-1.971564521,-1.607681313,-0.23%
2.386,-1.959317077,-1.593468423,-0.23%
2.387,-1.947007881,-1.579206059,-0.23%
2.388,-1.934637184,-1.564894534,-0.24%
2.389,-1.922205236,-1.55053416,-0.24%
2.39,-1.90971229,-1.53612525,-0.24%
2.391,-1.8971586,-1.52166812,-0.25%
2.392,-1.884544423,-1.507163087,-0.25%
2.393,-1.871870018,-1.492610469,-0.25%
2.394,-1.859135643,-1.478010586,-0.26%
2.395,-1.846341561,-1.463363761,-0.26%
2.396,-1.833488035,-1.448670315,-0.27%
2.397,-1.820575331,-1.433930574,-0.27%
2.398,-1.807603715,-1.419144864,-0.27%
2.399,-1.794573456,-1.404313512,-0.28%
2.4,-1.781484825,-1.389436847,-0.28%
2.401,-1.768338094,-1.374515199,-0.29%
2.402,-1.755133537,-1.359548902,-0.29%
2.403,-1.741871429,-1.344538287,-0.30%
2.404,-1.728552049,-1.32948369,-0.30%
2.405,-1.715175675,-1.314385447,-0.30%
2.406,-1.701742588,-1.299243896,-0.31%
2.407,-1.68825307,-1.284059376,-0.31%
2.408,-1.674707407,-1.268832228,-0.32%
2.409,-1.661105884,-1.253562794,-0.33%
2.41,-1.647448789,-1.238251417,-0.33%
2.411,-1.633736411,-1.222898442,-0.34%
2.412,-1.619969042,-1.207504215,-0.34%
2.413,-1.606146974,-1.192069084,-0.35%
2.414,-1.592270501,-1.176593398,-0.35%
2.415,-1.57833992,-1.161077508,-0.36%
2.416,-1.564355528,-1.145521764,-0.37%
2.417,-1.550317626,-1.12992652,-0.37%
2.418,-1.536226513,-1.114292131,-0.38%
2.419,-1.522082494,-1.098618953,-0.39%
2.42,-1.507885871,-1.082907342,-0.39%
2.421,-1.493636952,-1.067157657,-0.40%
2.422,-1.479336044,-1.051370258,-0.41%
2.423,-1.464983455,-1.035545505,-0.41%
2.424,-1.450579498,-1.019683762,-0.42%
2.425,-1.436124484,-1.003785392,-0.43%
2.426,-1.421618728,-0.98785076,-0.44%
2.427,-1.407062545,-0.971880232,-0.45%
2.428,-1.392456252,-0.955874176,-0.46%
2.429,-1.377800169,-0.93983296,-0.47%
2.43,-1.363094616,-0.923756955,-0.48%
2.431,-1.348339914,-0.907646533,-0.49%
2.432,-1.333536388,-0.891502064,-0.50%
2.433,-1.318684362,-0.875323924,-0.51%
2.434,-1.303784163,-0.859112487,-0.52%
2.435,-1.28883612,-0.84286813,-0.53%
2.436,-1.273840562,-0.82659123,-0.54%
2.437,-1.258797821,-0.810282165,-0.55%
2.438,-1.243708229,-0.793941316,-0.57%
2.439,-1.22857212,-0.777569063,-0.58%
2.44,-1.213389831,-0.761165789,-0.59%
2.441,-1.198161698,-0.744731877,-0.61%
2.442,-1.182888061,-0.728267711,-0.62%
2.443,-1.16756926,-0.711773678,-0.64%
2.444,-1.152205637,-0.695250164,-0.66%
2.445,-1.136797535,-0.678697556,-0.67%
2.446,-1.121345298,-0.662116245,-0.69%
2.447,-1.105849274,-0.645506619,-0.71%
2.448,-1.090309809,-0.628869071,-0.73%
2.449,-1.074727253,-0.612203993,-0.76%
2.45,-1.059101956,-0.595511778,-0.78%
2.451,-1.04343427,-0.578792821,-0.80%
2.452,-1.027724549,-0.562047517,-0.83%
2.453,-1.011973148,-0.545276263,-0.86%
2.454,-0.996180422,-0.528479457,-0.88%
2.455,-0.980346729,-0.511657497,-0.92%
2.456,-0.964472429,-0.494810784,-0.95%
2.457,-0.948557881,-0.477939718,-0.98%
2.458,-0.932603448,-0.461044701,-1.02%
2.459,-0.916609493,-0.444126136,-1.06%
2.46,-0.90057638,-0.427184426,-1.11%
2.461,-0.884504474,-0.410219977,-1.16%
2.462,-0.868394144,-0.393233194,-1.21%
2.463,-0.852245758,-0.376224485,-1.27%
2.464,-0.836059685,-0.359194256,-1.33%
2.465,-0.819836297,-0.342142917,-1.40%
2.466,-0.803575966,-0.325070877,-1.47%
2.467,-0.787279067,-0.307978547,-1.56%
2.468,-0.770945973,-0.290866338,-1.65%
2.469,-0.754577063,-0.273734663,-1.76%
2.47,-0.738172712,-0.256583935,-1.88%
2.471,-0.721733301,-0.239414568,-2.01%
2.472,-0.70525921,-0.222226978,-2.17%
2.473,-0.688750819,-0.205021579,-2.36%
2.474,-0.672208513,-0.18779879,-2.58%
2.475,-0.655632674,-0.170559028,-2.84%
2.476,-0.639023687,-0.153302711,-3.17%
2.477,-0.622381941,-0.136030258,-3.58%
2.478,-0.605707821,-0.118742091,-4.10%
2.479,-0.589001717,-0.101438629,-4.81%
2.48,-0.572264019,-0.084120296,-5.80%
2.481,-0.555495117,-0.066787512,-7.32%
2.482,-0.538695406,-0.049440703,-9.90%
2.483,-0.521865277,-0.032080291,-15.27%
2.484,-0.505005126,-0.014706703,-33.34%
2.485,-0.488115349,0.002679637,183.16%
2.486,-0.471196343,0.020078302,24.47%
2.487,-0.454248505,0.037488864,13.12%
2.488,-0.437272236,0.054910896,8.96%
2.489,-0.420267935,0.072343969,6.81%
2.49,-0.403236005,0.089787654,5.49%
2.491,-0.386176847,0.10724152,4.60%
2.492,-0.369090866,0.124705138,3.96%
2.493,-0.351978465,0.142178075,3.48%
2.494,-0.334840053,0.159659899,3.10%
2.495,-0.317676034,0.177150178,2.79%
2.496,-0.300486817,0.194648478,2.54%
2.497,-0.283272812,0.212154366,2.34%
2.498,-0.266034427,0.229667406,2.16%
2.499,-0.248772075,0.247187163,2.01%
2.5,-0.231486167,0.264713202,1.87%
2.501,-0.214177117,0.282245085,1.76%
2.502,-0.196845339,0.299782377,1.66%
2.503,-0.179491247,0.317324639,1.57%
2.504,-0.162115258,0.334871433,1.48%
2.505,-0.144717789,0.352422321,1.41%
2.506,-0.127299257,0.369976862,1.34%
2.507,-0.109860083,0.387534618,1.28%
2.508,-0.092400685,0.405095148,1.23%
2.509,-0.074921485,0.422658011,1.18%
2.51,-0.057422904,0.440222765,1.13%
2.511,-0.039905366,0.457788969,1.09%
2.512,-0.022369292,0.475356181,1.05%
2.513,-0.004815109,0.492923958,1.01%
2.514,0.012756758,0.510491857,0.98%
2.515,0.030345884,0.528059433,0.94%
2.516,0.047951842,0.545626243,0.91%
2.517,0.065574203,0.563191842,0.88%
2.518,0.083212538,0.580755785,0.86%
2.519,0.100866418,0.598317627,0.83%
2.52,0.118535413,0.615876922,0.81%
2.521,0.136219091,0.633433225,0.78%
2.522,0.153917021,0.650986087,0.76%
2.523,0.171628769,0.668535063,0.74%
2.524,0.189353902,0.686079706,0.72%
2.525,0.207091985,0.703619567,0.71%
2.526,0.224842583,0.7211542,0.69%
2.527,0.242605261,0.738683154,0.67%
2.528,0.260379582,0.756205984,0.66%
2.529,0.278165108,0.773722238,0.64%
2.53,0.295961401,0.791231469,0.63%
2.531,0.313768023,0.808733227,0.61%
2.532,0.331584533,0.826227062,0.60%
2.533,0.349410493,0.843712524,0.59%
2.534,0.36724546,0.861189164,0.57%
2.535,0.385088993,0.878656531,0.56%
2.536,0.402940651,0.896114175,0.55%
2.537,0.42079999,0.913561644,0.54%
