x,y (H1),EXACT,%Err(H1)
----,----------,----------,-------
0,0,0,-nan(ind)%,
0.55,0.5024679861,0.0535338936,8.386%,
0.6,0.1904912245,-0.2759236171,-1.6904%,
0.65,-0.1497466949,-0.6172565502,-0.7574%,
0.7,-0.4977868407,-0.9490953497,-0.47551%,
0.75,-0.8316189446,-1.249586146,-0.33448%,
0.8,-1.129019103,-1.497773096,-0.2462%,
0.85,-1.368969822,-1.674993769,-0.1827%,
0.9,-1.533075185,-1.766198411,-0.13199%,
0.95,-1.606879779,-1.761104221,-0.087573%,
1,-1.58100151,-1.655101866,-0.044771%,
1.05,-1.451995833,-1.449843164,-0.0014848%,
1.1,-1.222881969,-1.153455737,-0.06019%,
1.15,-0.9032799032,-0.7803516984,-0.15753%,
1.2,-0.5091293809,-0.3506218652,-0.45208%,
1.25,-0.0619875705,0.1109667319,1.5586%,
1.3,0.412070992,0.5763258447,0.285%,
1.35,0.8839017309,1.015684326,0.12975%,
1.4,1.323009246,1.39941881,0.054601%,
1.45,1.699441651,1.699968735,0.00031006%,
1.5,1.985747043,1.893716734,0.048598%,
1.55,2.158869309,1.962711525,0.099942%,
1.6,2.201858079,1.896114299,0.16125%,
1.65,2.105273215,1.691261301,0.24479%,
1.7,1.868177716,1.354254485,0.37949%,
1.75,1.498634017,0.9000180454,0.66512%,
1.8,1.01364626,0.3517897664,1.8814%,
1.85,0.4385238494,-0.2599490067,-2.687%,
1.9,-0.1943224026,-0.8990646768,-0.78386%,
1.95,-0.8471031079,-1.52580824,-0.44482%,
2,-1.478807796,-2.099189358,-0.29553%,
2.05,-2.047680431,-2.579552077,-0.20619%,
2.1,-2.513869853,-2.931196696,-0.14237%,
2.15,-2.842093461,-3.124881305,-0.090496%,
2.2,-3.004143292,-3.140035773,-0.043277%,
2.25,-2.981065059,-2.966530867,-0.0048994%,
2.3,-2.76485306,-2.605865792,-0.061011%,
2.35,-2.359527014,-2.07166786,-0.13895%,
2.4,-1.781489784,-1.389436847,-0.28217%,
2.45,-1.059106098,-0.5955117779,-0.77848%,
2.5,-0.2314894417,0.2647132017,1.8745%,
2.55,0.6534653589,1.139247489,0.42641%,
2.6,1.541715854,1.972513488,0.2184%,
2.65,2.37623657,2.708741347,0.12275%,
2.7,3.100537929,3.295550112,0.059174%,
2.75,3.662331097,3.687494298,0.0068239%,
2.8,4.017110231,3.849345702,0.043583%,
2.85,4.131417254,3.758885608,0.099107%,
2.9,3.98556265,3.409002451,0.16913%,
2.95,3.575599205,2.808924298,0.27294%,
3,2.914383287,1.9844624,0.4686%,
3.05,2.031608566,0.9771994424,1.079%,
3.1,0.9727573063,-0.1573793387,-7.181%,
3.15,-0.2030187374,-1.352746057,-0.84992%,
3.2,-1.426006253,-2.535047732,-0.43748%,
3.25,-2.619877704,-3.627486121,-0.27777%,
3.3,-3.706266944,-4.555111744,-0.18635%,
3.35,-4.609710685,-5.249744672,-0.12192%,
3.4,-5.262656416,-5.65471171,-0.069332%,
3.45,-5.610217695,-5.729085551,-0.020748%,
3.5,-5.614357696,-5.451127388,-0.029944%,
3.55,-5.257202295,-4.820670494,-0.090554%,
3.6,-4.543224748,-3.860236983,-0.17693%,
3.65,-3.500103436,-2.614750888,-0.3386%,
3.7,-2.178129401,-1.149794081,-0.89436%,
3.75,-0.6481274903,0.4515573974,2.4353%,
3.8,1.002051271,2.093185657,0.52128%,
3.85,2.67231345,3.671451315,0.27214%,
3.9,4.256140541,5.081481203,0.16242%,
3.95,5.647118267,6.223857887,0.092666%,
4,6.745793942,7.011300877,0.037868%,
4.05,7.466437151,7.374908893,0.012411%,
4.1,7.74326349,7.269538737,0.065166%,
4.15,7.53569307,6.677930167,0.12845%,
4.2,6.832255728,5.613246872,0.21717%,
4.25,5.652822069,4.119788732,0.37211%,
4.3,4.048930878,2.271735735,0.78231%,
4.35,2.102094199,0.1699035167,11.372%,
4.4,-0.07991446156,-2.06338252,-0.96127%,
4.45,-2.368653215,-4.291060906,-0.448%,
4.5,-4.622222472,-6.369403956,-0.27431%,
4.55,-6.693711864,-8.156930609,-0.17938%,
4.6,-8.440402892,-9.523631578,-0.11374%,
4.65,-9.733173489,-10.35992882,-0.060498%,
4.7,-10.46550929,-10.58477878,-0.011268%,
4.75,-10.56152123,-10.1523538,-0.040303%,
4.8,-9.982402182,-9.056798523,-0.1022%,
4.85,-8.730827055,-7.334656308,-0.19035%,
4.9,-6.852907324,-5.064690067,-0.35308%,
4.95,-4.437448981,-2.36497535,-0.87632%,
5,-1.612423305,0.6126869323,3.6317%,
5.05,1.46126515,3.690815831,0.60408%,
5.1,4.598450682,6.676361711,0.31123%,
5.15,7.600385352,9.37233849,0.18906%,
5.2,10.26683999,11.59030574,0.11419%,
5.25,12.408921,13.16294052,0.057284%,
5.3,13.86181441,13.95589399,0.0067412%,
5.35,14.4966328,13.87813278,0.044567%,
5.4,14.23055642,12.89002144,0.104%,
5.45,13.03452779,11.00850978,0.18404%,
5.5,10.93787928,8.308942704,0.3164%,
5.55,8.029437999,4.92320269,0.63094%,
5.6,4.454856659,1.03411664,3.3079%,
5.65,0.4101484658,-3.13370436,-1.1309%,
5.7,-3.868352112,-7.326185432,-0.47198%,
5.75,-8.117139609,-11.27463714,-0.28005%,
5.8,-12.06111159,-14.71230708,-0.1802%,
5.85,-15.43068788,-17.39165542,-0.11275%,
5.9,-17.97945202,-19.10127897,-0.05873%,
5.95,-19.50120557,-19.68137624,-0.0091544%,
6,-19.8453073,-19.03668274,-0.042477%,
6.05,-18.92922145,-17.14591391,-0.10401%,
6.1,-16.74732403,-14.06692866,-0.19055%,
6.15,-13.37520831,-9.937061643,-0.34599%,
6.2,-8.968981482,-4.968355078,-0.80522%,
6.25,-3.759340936,0.5622643307,7.6861%,
6.3,1.959455997,6.327489977,0.69033%,
6.35,7.845280496,11.9681276,0.34449%,
6.4,13.52770748,17.11458886,0.20958%,
6.45,18.63041652,21.41015625,0.12983%,
6.5,22.79512079,24.53461199,0.070899%,
6.55,25.7055618,26.22672825,0.019872%,
6.6,27.11002809,26.30411207,0.030638%,
6.65,26.84087234,24.67899162,0.0876%,
6.7,24.82961621,21.3687191,0.16196%,
6.75,21.11644416,16.50004332,0.27978%,
6.8,15.85318726,10.30655718,0.53817%,
6.85,9.299271028,3.119134683,1.9814%,
6.9,1.810527469,-4.650386369,-1.3893%,
6.95,-6.178774036,-12.53157147,-0.50694%,
7,-14.17986778,-20.02267639,-0.29181%,
